ich	I
Ende	the end (concrete and abstract)
später	later
fahren	to drive, to go
vergessen	to forget
Stadt	the town, the city
Problem	the problem
Dank	the thanks (no plural)
eins	one
Frage	the question
egal	no matter, regardless, all the same
Familie	the family
weit	wide, far
Musik	the music (plural rarely used)
sterben	to die
Hilfe	the help (no plural)
beide	both
bald	soon
Land	the country, the state
Glück	the luck, the happiness (no plural)
Baby	the baby
verrückt	crazy
Tür	the door
ruhig	calm, quiet
Auto	the car (automobile)
dies	this (uninflected form)
Wasser	the water
Ruhe	the peace, the quiet (no plural)
je	1. each. 2. ever
Krieg	the war
stehen	1. to stand.  2. to suit
Fall	1. the case (the abstract noun, not the concrete noun). 2. the fall
Hand	the hand
lang	long
hoch	high
eigentlich	actually
töten	to kill
fast	almost
Polizei	the police
spielen	to play
hinter	behind
sogar	even
Teufel	the devil
Name	the name
oben	above
spät	late
bekommen	to receive
bereit	ready
Mama	the mum
woher	wherefrom, whence
arbeiten	to work
verstehen	to understand
Tod	the death
Jahr	the year
Wagen	the car, the carriage, the trolley
wagen	to dare
toll	great, fantastic
fünf	five
etwa	about, approximately
Geschichte	the history
draußen	outside of there
treffen	to meet, to hit (a target)
Job	the job
nett	nice
echt	genuine
vier	four
Zimmer	the room (the architectural sort)
anders	different, otherwise, in another way
Art	the kind, the type
Woche	the week
Ahnung	the idea, the inkling
Kerl	the guy, the fellow (colloquial)
Typ	1. the type. 2. the guy (colloquial)
schwer	difficult, heavy
kurz	short
gestern	yesterday
wenig	few
Alter	the age
suchen	to search, to look for
Schwester	the sister
bestimmt	definite
Tochter	the daughter
Grund	1. the ground (no plural).  2. the reason
zeigen	to show
Herz	the heart (accusative as same nominative)
Bett	the bed
überhaupt	at all, generally
holen	to fetch
gefallen	to please, to be liked (+ dat.)
Seite	the page, the side
unten	down
Dollar	the dollar
versuchen	to attempt
schlecht	bad, poor, low quality
Wort	the word (in a given lexicon)
Wort	the word (in a given context)
deshalb	therefore, that's why
wohin	whither, where (to)
trinken	to drink
Gesicht	the face
verlassen	to leave (verb), deserted/desolate (adj.)
Mensch	the human being, the person
Film	the film
ziemlich	quite, fairly
schlafen	to sleep
zwischen	between
manchmal	sometimes
Wahrheit	the truth
Ding	the thing (mostly referring to a tangible object)
Fest	the festival, the party, the celebration
fest	solid, firm
Nummer	the number (e.g., telephone number, house number)
während	during, while
wiedersehen	to see again
kriegen	to get, to take
niemals	never (not once)
Idee	the idea, the concept, the thought
endlich	1. at last, finally (as in after a long time). 2. in the end, ultimately. 3. finite
frei	free
sondern	but rather
setzen	to set
Ort	the place, the location, the town
alt	old
euer	your (inf. pl.)
ernst	serious
oft	often
einige	a few
Schule	the school
Feuer	1. the fire. 2. the lustre (of gemstones). 3. the fiery temperament, the passion
entschuldigen	to excuse
erzählen	to tell, to recount
bloß	just, only, merely
Pass	the passport (identity document, not necessarily a travel passport)
Platz	the place, the city square
Schuld	the debt, the blame
Spaß	the fun
Sorge	the worry
Hund	the dog
wichtig	important
kaum	hardly
falls	if
stellen	to put (in an upright position) (e.g., to put a vase on a table)
Rede	the speech, the talk
glücklich	happy, felicitous
früh	early
Blut	the blood (no plural)
sechs	six
zuerst	first of all
Teil	the part (tangible objects), the component, the piece
Teil	the part (abstract), the section
Stunde	the hour
lieben	to love
langsam	slow
Telefon	the telephone
zehn	ten
Himmel	the sky, the heaven
Waffe	the weapon
Freundin	the female friend, the girlfriend
lernen	to learn, to study
Tat	the act, the action, the deed
Luft	the air
Menge	1. the amount, the quantity (for uncountable things). 2. the crowd
außer	except
überall	everywhere
Licht	the light
Erde	1. the Earth, 2. the soil
voll	full
nennen	to name, to state, to call
König	the king
falsch	wrong
wahrscheinlich	probably
Straße	the street
dürfen	to be allowed to, may
möglich	possible
ziehen	to pull
Eltern	the parents (plural only)
heiraten	to marry
ehrlich	honest
Kaffee	the coffee
Arzt	the medical doctor
Büro	1. the office (as in a physical room/building). 2. the bureau, the agency
groß	big, tall
Fehler	the mistake, the error
Stück	the piece
krank	sick
Stelle	1. the position. 2. the spot (place)
danach	thereafter, accordingly
rufen	to call, to shout
schaffen	to create, to make
völlig	fully
erinnern	to remind
laufen	to run, to walk
direkt	direct
Suche	the search
still	quiet, still, silent
Buch	the book
Körper	the body
schreiben	to write
trotzdem	nevertheless
Schiff	the ship
Zukunft	the future
kaufen	to buy
sitzen	to sit
retten	to rescue
leider	unfortunately
tragen	1. to carry. 2. to wear
irgendwo	somewhere
Onkel	the uncle
verlieren	to lose
Mund	the mouth
Party	the party (2)
leicht	light, easy
verschwinden	to disappear
Plan	the plan
Schlüssel	the key
zwar	indeed (2)
lesen	to read
General	the General
kämpfen	to fight
hart	hard, tough
mögen	to like
hinten	at the back
fliegen	to fly
Gefühl	the feeling
Liebling	the darling, the favourite
böse	1. evil. 2. angry (colloquial)
vorsichtig	careful
Stimme	the voice
acht	eight
froh	happy, glad
Boden	the ground, the floor
Mist	the manure, the dung (no plural)
Rest	the remainder
fort	away, gone
damals	back then, at that time
erklären	1. to explain (something). 2. to assert (that...)
Geschäft	the shop, the business, the commercial transaction
Zug	the train
Klasse	the class
Wohnung	the flat
stark	strong
stolz	proud
Laden	the retail shop
laden	to load
weniger	less
besonders	especially
schicken	to send
schauen	to look (at)
aufhören	to cease, to stop doing something
Gefängnis	the prison, the jail
Krankenhaus	the hospital
Traum	the dream
Nachricht	the news, the message
Dame	the lady
heraus	out (from)
Hotel	the hotel
fallen	to fall
Boot	the boat
Fenster	the window
Sinn	1. the sense. 2. the meaning
vorstellen	1. to introduce.  2. to visualise, to imagine
lachen	to laugh
Mai	the May (plural rare)
heißen	to be called
geschehen	to happen (1)
total	total(ly)
ändern	to modify, to change (usually referring to active changes)
tanzen	to dance
folgen	to follow (+ dat.)
solange	as long as
nachdem	after which
führen	to lead
Vertrauen	the trust (no plural)
vertrauen	to trust
wenigstens	at least (2)
lustig	funny, humourous
dumm	dumb, stupid
arm	poor
Arm	the arm
plötzlich	suddenly
passieren	to happen (2)
Bild	the picture
wunderbar	wonderful
sieben	seven
Antwort	the answer
unmöglich	impossible
herum	around (in all directions)
super	super
komisch	1. funny. 2. strange
Auge	the eye
Bier	the beer
vorher	before that, previously
kalt	cold
anrufen	to phone
Augenblick	the instant
verheiratet	married
Tisch	the table
schlimm	bad, horrible
schießen	to shoot
Meinung	the opinion (2)
Rum	the rum
Sonne	the sun
Armee	the army
links	on the left
wozu	what for
müde	tired
liegen	to lie down, to be lying down
Reise	the (long) journey
Sicherheit	the security, the safety
Team	the team (anglicism)
sobald	as soon as
Finger	the finger
Brief	the letter
zahlen	to pay (the bill)
welcher	which (three forms)
gewinnen	to win
laut	1. loud (adj.). 2. according to (prep.)
verkaufen	to sell
fangen	to catch
bezahlen	to pay (for)
Anfang	the beginning
Versuch	the attempt
gefährlich	dangerous
außerdem	besides, in addition
legen	to put (in a horizontal position)
Präsident	the president
Person	the person
nochmal	again, one more time
perfekt	perfect
Monat	the month
behalten	to keep
singen	to sing
erfahren	to find out, to experience (verb), experienced (adj.)
obwohl	although, though, notwithstanding
rechts	on the right
Nähe	the vicinity (no plural)
dagegen	against it, in contrast
Pferd	the horse
klein	small, short
anfangen	to begin (1)
Minute	the minute
nötig	necessary (1)
schlagen	to hit, to defeat
Mord	the murder
Schluss	the end (abstract)
Band	the volume (books)
Band	the band (music)
Band	the strap
Meister	the master, the champion
jedenfalls	at any rate, in any case
neu	new
Schwein	the pig
hübsch	pretty
unterwegs	under way, on the way
Ziel	the goal (not sports), the target
offen	open (adj.)
jemals	ever
Geist	the ghost, the spirit (supernatural being)
Geist	1. the spirit (intellectual),  2. distilled alcohol
Wette	the bet
Beispiel	the example
Chef	the male boss
Nase	the nose
sowieso	anyway (2)
rücken	1. to move over. 2. to push along
Rücken	the back
reich	rich
Flugzeug	the airplane
Gefahr	the danger
absolut	absolute
bekannt	well-known
tief	1. deep. 2. low
regeln	to govern
Bank	the bank (financial institution)
Bank	the bench
Professor	the professor
Partner	the partner (domestic and business)
Opfer	the victim
Ehe	the marriage
geboren	born
jung	young
Tasche	the bag, the pocket
Lauf	the course, the run
Haut	the skin
Richtung	the direction
Weise	the way, the manner
Raum	the room, the space
Regierung	the government
Rolle	the role
Frieden	the peace (no plural)
Volk	the populace, the people (nation)
schrecklich	terrible
Gericht	1. the dish (food).  2. the law court
ständig	constantly
fernsehen	to watch TV
Fernsehen	the television (as a phenomenon) (no plural)
Gesetz	the law (countable noun)
neben	next to, beside
dahin	(to) there (1)
Freiheit	the freedom
Gold	the gold (no plural)
Weihnachten	the Christmas
Preis	1. the price.  2. the prize
benutzen	to use (1)
Geschenk	the gift, the present
Achtung	the respect, the esteem (no plural)
Achtung!	1. Attention!  2. Caution!
heiß	hot
pro	per
Lage	1. the position. 2. the situation
Schicksal	the fate
Punkt	the dot, the period (punctuation)
ansehen	to look at (2)
Witz	the joke
diesmal	this time
ewig	forever
Unfall	the accident
Hunger	the hunger (no plural)
Kamera	the camera
Taxi	the taxi
Tee	the tea
See	the lake
See	the sea (2)
Meer	the sea (1)
erreichen	to reach
Hochzeit	the wedding (2)
Geburtstag	the birthday
Hut	the hat
Liste	the list
Karte	the card
Gesellschaft	the society
lügen	to lie, to say falsely
Kirche	the church
traurig	sad
Kontrolle	the inspection
Zeichen	the sign
Foto	the photo
seltsam	odd, strange
sauber	clean
Aussehen	the appearance (as in how something looks)
aussehen	to look like
Hoffnung	the hope
Ball	the ball
Wein	the wine
Szene	the scene
Vergnügen	the pleasure, the delight
irgendwann	sometime
stecken	to stick (smth into smth)
neun	nine
drehen	1. to turn (smth) 2. to shoot (a film)
Drehbuch	the screenplay
Tante	the aunt
kaputt	broken
Dorf	the village
Glas	the glass
nervös	nervous
Firma	the firm
Lust	1. the enjoyment. 2. the desire, the lust
Blick	the glance
süß	sweet
öffnen	to open (2)
gehören	to belong to (+ dat.)
nachts	at night (2)
Meter	the metre (unit of measurement)
wunderschön	very beautiful
antworten	to answer (+dat.)
Hals	1. the neck. 2. the throat
nämlich	namely
Besuch	the visit
wohnen	to live (in a place)
lieb	nice, good, dear
persönlich	personal
Entscheidung	the decision
interessant	interesting
passen	to fit, to suit
Wind	the wind
Polizist	the male police officer
Sekunde	the second
beweisen	to prove (1)
verraten	1. to betray. 2. to reveal
werfen	to throw
Fuß	the foot
gegenüber	across (from)
ungefähr	roughly
übrigens	by the way
Mut	the courage (no plural)
sauer	sour, annoyed
Geheimnis	the secret
entfernt	away, distant, removed
statt	instead of (2)
Bein	the leg
furchtbar	dreadful
schuldig	guilty
Gruppe	the group
Amerikaner	the American person
Loch	the hole
besuchen	to visit
entlang	along
Freude	the joy
geliebt	beloved
Insel	the island
Fleisch	the meat (no plural)
Schmerz	the pain
Zeitung	the newspaper
erkennen	to recognise, to discern, to identify
Gebäude	the building
Messer	the knife
Kontakt	the contact
schreien	to scream, to shout
Rat	the advice
Haar	the hair
teilen	1. to divide. 2. to share
Bus	the bus
Richter	the judge
mitnehmen	to take along
Lied	the song
drinnen	inside there
Computer	the computer
verstecken	to hide
Königin	the queen
Bericht	the report
miteinander	with one another, together
zufrieden	satisfied
wütend	furious
Fisch	the fish
vorwärts	forwards
Vergangenheit	the past
überleben	to survive
Agent	the Agent
Position	the position
Küche	the kitchen
Ring	the ring
Gegend	the (geographical) area (with no well-defined boundaries)
nah	near
Verbindung	the connection, the link
Kleid	the dress (generally worn by women)
Ecke	the corner
Radio	the radio
Eis	the ice (no plural)
witzig	witty, funny
Fräulein	the miss (young lady)
Flug	the flight
halb	half
England	England
bauen	to build
entscheiden	to decide
erledigen	to take care of (something), to finish
zerstören	to destroy
Maschine	the machine
beschäftigt	busy
Sommer	the summer
Respekt	the respect (no plural)
schließlich	finally, in conclusion
Adresse	the address
Fahrt	the drive, the trip, the journey
beginnen	to begin (2)
Aufgabe	the assignment, the task
hängen	to hang
feiern	to celebrate
weinen	to cry (with tears)
betrunken	drunk, drunken
Beziehung	the relationship
Wald	the forest
soweit	as far as
stimmen	to be right (2)
Park	the park
danken	to thank
schwierig	difficult
Hälfte	the half
besorgt	worried
Koffer	the suitcase
Pistole	the pistol
Brücke	the bridge
Knast	the jail, the slammer (colloquial)
gesund	healthy
Quatsch	the nonsense (2) (no plural)
wünschen	to wish
Unterschied	the difference
leiden	to suffer
leisten	to achieve
Tor	1. the gate, 2. the goal (sport)
Glückwunsch	the best wishes
Soldat	the soldier
verantwortlich	responsible, accountable
Dach	the roof
Lehrer	the teacher
steigen	to climb, to rise, to ascend
Bad	1. the bath. 2. the bathroom
Katze	the cat
Tier	the animal
rennen	to run, to race
Gehirn	the brain
Theater	the theatre
Erfolg	the success
Fluss	the river
blöd	stupid (1)
City	the city centre, downtown (no plural)
küssen	to kiss
Baum	the tree
davor	1. beforehand, before that. 2. in front of
verdienen	to earn
System	the system
Lächeln	the smile (no plural)
lächeln	to smile
Abendessen	the dinner, the supper
Flasche	the bottle
schützen	to protect
leer	empty
schließen	to close (1)
rauchen	to smoke
Rauchen	the smoking (no plural)
Vogel	the bird
vermutlich	presumably, probably
kosten	1. to cost. 2. to taste (something), to sample (food), to savour
Haufen	the pile
Wand	the wall (part of a building)
brechen	to break (into pieces)
Grad	the degree (a unit of measure)
übernehmen	to assume, to take on
zuvor	previously, before
Natur	the nature (no plural)
englisch	English (adj.)
Englisch	English (language)
Angriff	the attack
Möglichkeit	the possibility
lächerlich	ridiculous
morgens	in the morning (1)
aufpassen	to pay attention, to keep an eye (on something/someone)
mitten	in the middle
stören	to disturb
Stein	the stone
Pause	the break, the intermission
Nachmittag	the afternoon
Auftrag	the order (command), the mandate, the mission
Regen	the rain
einverstanden	agreed
gemeinsam	collective, together
dorthin	(to) there (2)
bedeuten	to mean
schwarz	black
Lüge	the lie
Farbe	1. the colour. 2. the paint
fassen	to grasp (physically)
reisen	to travel
Spur	the track
Frühstück	the breakfast
offensichtlich	clear, apparent, self-evident
mitkommen	to come along
Runde	1. the lap (in sports). 2. the round (e.g., of drinks)
Wochenende	the weekend
zufällig	by chance
Untertitel	the subtitle
Stock	1. the stick. 2. the storey, the floor
fern	far, distant
geschlossen	closed
Mond	the moon
unternehmen	to undertake
Hose	the pants, the trousers
Rock	the skirt, or any kind of kilt-like attire
Rock	the rock music (no plural)
Pfund	1. the pound (weight). 2. the pound (currency, no plural)
warm	warm
Braut	the bride
versprechen	to promise
Reihe	the row
fantastisch	fantastic
Sprache	the language
irgendwelche	any
Gespräch	1. the conversation. 2. the interview
Flughafen	the airport
Wunsch	the wish
Post	1. the post, the mail. 2. the post office (plural rare)
Schaden	the damage
Tanz	the dance
Urlaub	the vacation, the leave
dick	1. thick. 2. fat
Gelegenheit	the opportunity
Folge	1. the consequence. 2. the (TV) episode
herausfinden	to find out
Verantwortung	the responsibility
Thema	the topic
leise	quiet (as in low volume)
Keller	the cellar, the basement
Erfahrung	the experience
dauern	to take (time)
Schloss	1. the lock. 2. the castle
Angebot	the offer
umsonst	1. for nothing, in vain. 2. for free
Anzug	the suit (clothing)
beenden	to finish
Strand	the beach
Grab	the grave
Restaurant	the restaurant
rot	red
Schatten	1. the shade. 2. the shadow
Gang	1. the course. 2. the passage. 3. the corridor. 4. the gait
Lager	the warehouse, the storage area, the camp
aufstehen	1. to stand up. 2. to get up (from bed)
Sieg	the victory
nerven	to get on one's nerves
Kugel	the ball, the scoop
Milch	the milk (no plural)
schwanger	pregnant
Gewalt	1. the violence, the force (no plural). 2. the authority
Frankreich	France
Reich	the realm (in the sense of kingdom, empire, etc.)
Schönheit	the beauty
zweimal	twice
Pflicht	the duty
Kunst	the art
Kuss	the kiss
schwimmen	to swim
Knie	the knee
Priester	the priest
Form	the shape, the form
beruhigen	to calm
blind	blind
Kurs	1. the course. 2. the exchange rate
Schauspieler	the actor
Großvater	the grandfather
entkommen	to escape, to get away
Fahrer	the male driver
Million	the million
Risiko	the risk
Test	the test (exact cognate with English)
ähnlich	similar
mindestens	at least (1)
Grenze	the border
Bühne	the (performance) stage
Interesse	the interest (e.g. to have an interest in smth)
Kino	the cinema
Einheit	1. the unity, the whole. 2. the unit
Sonntag	the Sunday
schulden	to owe
Stern	the star
dunkel	dark
scheinen	1. to shine. 2 . to appear, to seem
Blödsinn	the nonsense (1) (no plural)
Freitag	the Friday
Zufall	the chance, the coincidence
hinterlassen	to leave behind
fair	fair
nachdenken	to think over, to reflect
satt	satiated, full
hoffen	to hope
Energie	the energy
Oma	the grandma
Großmutter	the grandmother
Dieb	the male thief
Beweis	the proof
verbringen	to spend time
Garten	the garden
Mantel	the coat
Brot	the bread
Lösung	the solution
Wetter	the weather (no plural)
schätzen	1. to estimate, to value. 2. to esteem
Ohr	the ear
Berg	the mountain
Rose	the rose
Erinnerung	the memory (as in a particular memory of, e.g., an event)
normalerweise	normally
aufgeben	to give up (a bad habit)
Ton	the tone, the sound, the note
Ton	the clay
Gebiet	1. the region. 2. the field of knowledge, the area of expertise
Westen	the west (no plural)
Zweifel	the doubt
Staat	the state
stehlen	to steal
einander	each other, one another
merken	1. to notice. 2. to realise. 3. to remember
Direktor	the director, the principal
Champagner	the champagne
Publikum	the audience (plural rare)
dringend	urgent
Bulle	1. the bull.  2. the cop (colloquial)
Stuhl	the chair
ebenso	just as
Schutz	the protection (plural rare)
weshalb	why (2)
Karriere	the career
kochen	1. to cook. 2. to boil
Norden	the north (no plural)
nachher	1. afterward. 2. later
anhalten	to stop (vehicles)
abends	in the evening
Hintergrund	the background
Schüler	the pupil (primary or secondary school)
Krankheit	the illness (2)
Europa	Europe (n.)
Süden	the south (no plural)
hassen	to hate
beinahe	nearly, almost
klug	prudent, wise, smart
Abteilung	the department
träumen	to dream
Vorstellung	1. the presentation, the show. 2. the conception
schick	chic
Samstag	the Saturday
Gast	the guest
Mitte	the middle
Tausend	the thousand
Kuchen	the cake
wundervoll	marvelous
Kohle	1. the coal. 2. the money (colloquial)
springen	to jump
teuer	expensive
Medizin	1. the medicine (as in the science). 2. the medication
Video	the video
scharf	1. sharp.  2. spicy
Beruf	the profession
Hemd	the shirt
abholen	to pick up, to collect, to retrieve
trotz	in spite of
langweilig	boring
Rechnung	1. the bill, the invoice. 2. the calculation
schwach	weak
Winter	the winter
entlassen	to dismiss, to fire (from a job)
handeln	to deal, to trade, to haggle, to act
Brust	the breast, the chest
Größe	the height, the size
Zigarette	the cigarette
zählen	to count
Handy	the cell phone
seitdem	since which
neulich	newly, recently
College	the college (in the UK or the US)
Toilette	the lavatory
hauen	to hit, to hew
Termin	the appointment, the date
erlauben	to allow
wetten	to bet
Spiegel	the mirror
enden	to end
Menschheit	the mankind (no plural)
nieder	low (1)
selbstverständlich	obvious, of course
Sturm	the storm
lösen	to solve
Motor	the motor
reiten	to ride
funktionieren	to function
überprüfen	to control, to check, to verify
unterschreiben	to sign (a signature)
Tatsache	the fact
freundlich	friendly
Selbstmord	the suicide
annehmen	1. to accept, 2. to assume
besprechen	to discuss (1)
Zunge	the tongue
Treppe	the stair
Streit	the controversy, the quarrel, the argument
Bauch	the belly, the stomach
eifersüchtig	jealous
Decke	1. the blanket. 2. the ceiling
drücken	to press
Deutsche	the German person
außerhalb	outside, beyond (prep., as in outside our control)
Montag	the Monday
peinlich	embarrassing
schlau	crafty, clever
blau	1. blue. 2. drunk (colloquial, obsolescent)
wild	wild
frisch	fresh
Inspektor	the inspector
mehrere	several
aufmachen	to open (1)
Bahn	1. the railway. 2. the track, the path
Papier	the paper, the document
zurückkommen	to return, to come back
landen	to land
vergeben	1. to forgive 2. to award
verhaften	to arrest
Talent	the talent
Geschmack	the taste
Labor	the laboratory
zwölf	twelve
ausgehen	1. to go outside. 2. to run out (e.g., money). 3. to burn out (e.g., a candle, fire). 4. to go out (as in to date). 5. to assume. 6. to die down.
Griff	the grip, (mus.) the fingering
Ei	the egg
wählen	to choose, to vote
Osten	the east (no plural)
Alkohol	the alcohol
Erklärung	the explanation
Bürgermeister	the mayor
reinkommen	to come in (colloquial)
verändern	to alter, to change (usually referring to passive changes)
behandeln	to treat
Absicht	the intention
Aussage	the statement
Feld	the field
schief	crooked, lopsided
Mühe	the effort
interessieren	to interest
selten	seldom, rare
grün	green
Prozent	the percent
Kuh	the cow
Spieler	the player
gebraucht	second hand, used
Fernseher	the television set
Erlaubnis	the permission, the permit
Bedeutung	the meaning
kontrollieren	to check, to control
auseinander	apart, asunder
Kalifornien	California
Cent	the cent
gebrauchen	to use (2)
Schnee	the snow (no plural)
verfolgen	to pursue
Zahl	the number, the figure (e.g., the unemployment figure)
jederzeit	(at) any time
Pech	1. bad luck (no plural). 2. the residue of coal tar.
Botschaft	1. the message. 2. the embassy
Stoff	1. the material, the substance. 2 the fabric
Mitternacht	the midnight
Mexiko	Mexico
Sendung	the broadcast, the programme (TV and radio)
packen	to pack (2)
Heimat	the home country, the home town
hingehen	to go (there)
verwirrt	confused
Linie	the line
französisch	French (adj.)
Scheck	the check
fressen	to eat (of animals)
ausgezeichnet	excellent
Jacke	the jacket
hungrig	hungry
Kleidung	the clothing
aufgeregt	excited
getrennt	separated, separately
irgendein	some ... or the other
Hütte	the hut
enttäuscht	disappointed
Brille	the eyeglasses
stoppen	to stop
Eindruck	the impression
anziehen	1. to dress. 2. to attract
Not	1. the emergency. 2. the need
Stil	the style
Schlafzimmer	the bedroom
fein	fine
Gras	the grass
fehlen	to be missing
Strom	1. the current (e.g., electricity) 2. the stream
merkwürdig	strange, odd, curious, remarkable
raten	1. to advise. 2. to guess
Hof	1. the courtyard. 2. the farm
Opa	the grandpa
Künstler	the male artist
begleiten	to accompany
Kaiser	the emperor
verpassen	to miss something scheduled
Kauf	the purchase
beobachten	to watch, to observe
Projekt	the project
weiterhin	furthermore
trennen	to separate
probieren	to try
spitze	great (s-)
Spitze	1. the lace, 2. the summit, the peak
Schlange	1. the snake. 2. the queue
Zucker	the sugar (no plural)
dienen	to serve
zuletzt	1. last (as in at the end of a series of things/events). 2. in the end, ultimately
heutzutage	nowadays
dahinter	behind it
Wissenschaftler	the academic, the scholar, the scientist
Akademiker	the university graduate
genießen	to enjoy
fliehen	to flee (1)
festhalten	to seize, to adhere, cling to, hold on tight
streng	stringent, rigourous, harsh
Fett	the fat
starten	to take off, to set off, to start off
erleben	to experience
klopfen	to knock
Benzin	the petrol
Deutschland	Germany
zuhören	to listen to
Bürger	the citizen
Dummkopf	the dimwit
gemein	1. mean, nasty.  2. in common (obsolescent)
Holz	the wood
Dienstag	the Tuesday
gucken	to look
Mittag	the noon
Fabrik	the factory
Leiter	1. the leader, the manager. 2. the electric conductor
Leiter	the ladder
Titel	the title
spazieren	to stroll
dicht	dense
Geburt	the birth
geheim	secret
Universum	the universe (U-)
Politik	the politics (plural rare)
Müll	the rubbish (no plural)
riskieren	to risk
anfassen	1. to touch. 2. to grab, to catch hold of
Staub	the dust
Narr	the fool, the jester
Vorschlag	the suggestion
Klo	the loo
Werk	the work (of art, etc.)
Regel	the rule
Gegenteil	the opposite
waschen	to wash
reparieren	to repair
praktisch	practical
Artikel	the article (exact cognate with English)
wechseln	to change/exchange (tangible objects)
überzeugen	to convince
wachsen	1. to grow.  2. to wax
Kilometer	the kilometer
Freundschaft	the friendship
China	China
vernünftig	sensible, reasonable
einst	at one time
inzwischen	meanwhile
achten	to respect, pay attention, take care
täglich	daily
Reifen	the tyre
bewusst	conscious
spüren	to sense
Aufnahme	1. the recording 2. the photograph 3. the admittance (into, e.g., a club or a hospital)
Feigling	the coward
Mars	Mars
riechen	to smell
umgehen	to go around (literally and figuratively)
Markt	the market
angenehm	pleasant, enjoyable, agreeable (applies to both persons and things)
rechtzeitig	on time
Wirklichkeit	the reality (2)
Ware	the merchandise
Mitglied	the member
derjenige	the one (who) (three forms)
angeblich	alleged
schneiden	to cut
hundert	hundred
